Address,area,latitude,longitude,Bedrooms,Bathrooms,Status,neworold,parking,Furnished_status,Lift,type_of_building,Price_sqft,Price_Lakhs
"Noida Extension, Noida, Delhi NCR",1350.0,28.60885,77.46056,3.0,3.0,Under Construction,New Property,1.0,Unknown,2.0,Flat,4148.148148148148,56.0
"Sector 79, Gurgaon, Delhi NCR",1490.0,28.37423557,76.95241631,3.0,3.0,Ready to Move,New Property,1.0,Semi-Furnished,2.0,Flat,5906.040268456376,88.0
"Vaishali, Ghaziabad, Delhi NCR",2385.0,28.645769,77.38511,4.0,5.0,Ready to Move,New Property,1.0,Unfurnished,2.0,Flat,6918.238993710692,165.0
"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",1050.0,28.566914,77.436434,2.0,2.0,Unknown,New Property,1.0,Unfurnished,2.0,Flat,3628.571428571429,38.1
"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",1350.0,28.520732,77.356491,2.0,2.0,Ready to Move,Resale,1.0,Unknown,3.0,Flat,4592.592592592592,62.0
"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",1150.0,28.62804,77.437809,2.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Flat,3217.391304347826,37.0
"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",890.0,28.610645,77.455837,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3674.157303370787,32.7
"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",850.0,28.471233,76.969597,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4694.117647058823,39.9
"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",960.0,28.5814311,77.4528192,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3645.8333333333335,35.0
"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400.0,28.614181,77.427713,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3928.571428571429,55.0
"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",850.0,28.72407531738281,77.0955810546875,3.0,2.0,Ready to Move,New Property,2.0,Semi-Furnished,1.0,Flat,8588.235294117647,73.0
"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250.0,28.436305,77.13605,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,6160.0,77.0
