Feature,Importance
numerical__area,0.22738468468010878
numerical__Bathrooms,0.1364706708091562
numerical__Bedrooms,0.11725181945299379
numerical__longitude,0.08328229340747557
numerical__latitude,0.053523399330711985
numerical__parking,0.03771739883102835
numerical__Lift,0.012184567378921068
categorical__Furnished_status_Unknown,0.0059750880229442645
"categorical__Address_Sector 53 Vipul Belmonte  Golf Course Road Gurgaon  Flat no.1402 Tower 2, Sector 53, Gurgaon, Delhi NCR",0.005659565645693704
"categorical__Address_Central park the resorts sector 48 gurgaon, Sector 48, Gurgaon, Delhi NCR",0.005650228732968282
"categorical__Address_B-901., Sector 24, Gurgaon, Delhi NCR",0.005589017521439273
"categorical__Address_Golf Course Road, Gurgaon, Golf Course Road, Gurgaon, Delhi NCR",0.005187765209303999
categorical__Furnished_status_Semi-Furnished,0.00501834570537761
"categorical__Address_Sector 50, Noida, Sector 50 Block D, Noida, Delhi NCR",0.0049884816688272405
"categorical__Address_gulmohar park, Gulmohar Park, New Delhi - South, Delhi NCR",0.004678306291109349
categorical__type_of_building_Flat,0.004041263077994467
categorical__Furnished_status_Unfurnished,0.0038849433753209146
"categorical__Address_Block M, South City -1, South City 1, Gurgaon, Delhi NCR",0.003815792788472011
"categorical__Address_Central Park 1  Sector 42 Gurugram, Sector 42, Gurgaon, Delhi NCR",0.003729173381876706
categorical__type_of_building_Individual House,0.003599919870382666
categorical__neworold_Resale,0.003518479046383693
categorical__Furnished_status_Furnished,0.003354483674324979
categorical__neworold_New Property,0.0030188753777945863
"categorical__Address_B92 Sector 27 Noida, Sector 27, Noida, Delhi NCR",0.0027121925410092994
"categorical__Address_S-382, 3 rd floor front side, Panchsheel Park, New Delhi - South, Delhi NCR",0.002388458771665054
"categorical__Address_TH - 63, Jaypee Wishtown, Jaypee Greens, Sector - 128, Noida, Sector 128, Noida, Delhi NCR",0.0023722335116453204
"categorical__Address_DLF City Phase 2, Gurgaon, Delhi NCR",0.0023020989628873218
"categorical__Address_Sector 53, Gurgaon, Sector 53, Gurgaon, Delhi NCR",0.0022892716538153134
"categorical__Address_c block, Green Park, New Delhi - South, Delhi NCR",0.0022262523277366106
"categorical__Address_Palam Vihar, Gurgaon, Delhi NCR",0.0021808623791506284
"categorical__Address_Sector 15, Faridabad, Delhi NCR",0.0021441808628874636
"categorical__Address_Sector 65, Gurgaon, Delhi NCR",0.0021332780000415407
"categorical__Address_6 BHK Villa with 1 BHK in Basement Park Facing Very Nice Location, Sector 57, Gurgaon, Delhi NCR",0.002045161886050755
"categorical__Address_house no, Green Park, New Delhi - South, Delhi NCR",0.0020068176450643493
categorical__Status_Unknown,0.001992368014508008
"categorical__Address_house number 218 HUDA Plots Gate 14 Yoga Park sector 56 gurgaon, Sector 56 Block E, Gurgaon, Delhi NCR",0.0019737792551376646
categorical__Status_Ready to Move,0.001934929697656407
